id,primary,yearpublished,minplayers,maxplayers,playingtime,minage,owned,trading,wanting,wishing,average,bayes_average,users_rated,is_popular
10094,Weakest Link,2001,4,8,60,8,145,6,0,2,4.75,5.481,52,0
3024,Realm,1973,2,2,60,8,183,13,20,53,6.8,5.536,52,1
227163,Cooking Rumble,2018,2,3,10,6,106,6,2,7,7.22,5.532,52,1
61996,Deluges,2010,3,4,90,12,192,18,13,37,6.02,5.504,52,0
231801,Party & Co: Extreme 3.0,2005,2,4,60,12,131,0,1,4,6.6,5.524,52,1
42591,Summer Lightning: The Invasion of Poland 1939,2011,1,2,240,12,251,16,11,56,6.8,5.537,52,1
29694,Die kleine Hexe,2007,2,4,25,5,93,10,2,4,5.53,5.499,52,0
286264,The Office: Downsizing Game,2019,5,10,0,16,337,12,1,12,3.82,5.45,52,0
134419,The Golden Wilderness,2013,2,5,120,15,131,5,23,79,6.9,5.535,52,1
22980,Jeff Foxworthy's You Might Be a Redneck if... Game,2006,2,4,30,16,214,19,0,1,3.82,5.45,52,0
254938,Yohei,2020,2,4,90,12,145,4,2,40,7.45,5.538,52,1
287895,Grund,2019,2,4,60,8,62,6,1,19,7.43,5.537,52,1
175086,"San, Ni, Ichi",2016,3,6,25,10,132,6,1,15,6.29,5.515,52,0
38702,Sink the Bismarck,2008,1,1,25,0,78,1,2,22,5.69,5.503,52,0
8405,Hamburger Hill,1990,2,2,120,12,366,21,4,11,6.3,5.513,52,0
190758,Psychomachia,2015,2,4,75,12,50,6,1,13,7.71,5.531,52,1
37490,"Lumps, the Game of Big Rolls and Smart Holds",2008,1,100,0,8,170,4,0,4,5.51,5.492,52,0
38795,Rhino Rampage,2008,2,4,15,4,84,3,0,3,4.72,5.471,52,0
276551,Mysthea: The Fall,2020,2,5,120,14,442,5,4,32,8.04,5.562,52,1
4969,Manhunt,1972,2,4,90,8,194,17,3,22,5.83,5.504,52,0
4097,Raise the Roof,1982,2,4,60,7,123,5,10,15,5.72,5.499,52,0
2532,New York,1995,2,5,90,12,109,8,7,14,5.95,5.513,52,0
188753,ElemenZ,2017,2,4,30,8,117,12,0,22,6.45,5.519,52,0
5435,North Sea Oil,1974,2,6,120,12,136,13,3,7,5.49,5.5,52,0
229537,Mind the Gap,2017,2,8,20,6,133,0,0,3,5.72,5.504,52,0
273636,1836,2019,3,5,150,21,81,0,47,67,7.67,5.562,52,1
192226,Showdown,2016,3,8,45,12,126,8,3,14,6.53,5.532,52,1
145915,Battleborn Legacy,2017,2,4,180,14,183,10,2,26,7.95,5.546,52,1
5935,Drive on Frankfurt,1987,2,2,120,12,292,16,2,10,6.83,5.536,52,1
7795,"Bundeswehr: Northern Germany, late 1970's",1977,2,2,120,12,184,10,6,15,6.08,5.516,52,0
2540,Beest,2001,3,6,45,11,119,4,25,34,3.77,5.446,52,0
35354,Dry Gulch Junction,2008,2,4,45,8,63,6,3,8,6.08,5.518,52,0
235361,Albedo,2017,2,4,45,14,103,9,10,51,6.66,5.532,52,1
7579,Veld Railroads,2003,3,6,120,12,108,1,24,32,6.99,5.541,52,1
27296,The Game of Life: Fame Edition,2002,2,4,0,8,175,6,0,10,4.57,5.472,52,0
273909,Napoleon's Wheel,2020,1,4,60,10,257,1,24,49,8.35,5.561,52,1
287586,Top Secret,2019,3,10,20,12,155,3,1,19,6.19,5.519,52,0
7693,Fußball-Bundesliga: Das große Geschäft,1987,2,4,45,8,102,8,0,3,4.17,5.46,52,0
271268,Admirals' War: World War II at Sea,2019,2,4,480,0,167,1,21,72,8.6,5.567,52,1
